Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-49-6744-01A	0.0944669473376647	0	0.129983950242935	0.0920930180820899	0	0.194729218392141	0.0266280797387144	0.00931994097122817	0.0348882581262333	0	0	0.000102651578210683	0.0223530804769795	0.0755582005421183	0.0383825299195201	0.0501360473933124	0.100474222033096	0.0339943907584298	0.090516292440462	0	0	0.00637317196686516	0	0.426357787899046	0.904179152622799
TCGA-49-AAR0-01A	0.0574515487105426	0.00839203075311678	0.102480527801134	0.150427436667373	0	0.0836624855314738	0	0.0194736211428593	0.066815878284021	0	0	0.0892205736277906	0.0125807972536134	0.0954536590568494	0.0527267547824869	0.145644258513463	0.0124478234248149	0.00249981528650832	0.084693882771053	0	0.0126428558962242	0.0033860504966764	0.01	0.363783413864633	0.932023317057416
TCGA-49-AAR2-01A	0.11001956751809	0	0.506777032551117	0.0716637276060571	0	0.0441343444836976	0.039978815391112	0	0.042292298658221	0	0	0.0125117570782246	0.00256799658467052	0.0574954025086342	0.0324192142203592	0.0533950458543033	0	0	0.0204168704168121	0	0	0.00632792712870142	0	0.729847435842134	0.683135669297303
TCGA-49-AARN-01A	0.0991720817116792	0.00235417301410904	0.305318134888621	0.061263633511381	0	0.115832262861073	0.0181250285283646	0.0263139912323322	0.0678418519012408	0	0	0.00975957320835227	0	0.0747848118559074	0.0393023050059084	0.0251714267566969	0.0920721459443971	0.00428392530101901	0.058404654278918	0	0	0	0	0.595951744772671	0.805842855343613
TCGA-49-AARR-01A	0.125197215428379	0	0.281699883569782	0.122139027415491	0	0.0814238018738901	0.0162848247783733	0.0104046340879413	0.014096674631875	0	0.0211778420785132	0.000134814943567631	0.00508297112210175	0.0381685642518608	0.00804915778052758	0.167684801867685	0	0.00585209976644402	0.0857875738638958	0	0	0.0168161125396712	0	0.575551296356488	0.819613259782044
TCGA-50-5045-01A	0	0.0624615404178851	0.160576964494643	0.100058565613448	0	0.135948834599056	0.0256894586120662	0.0329795953573167	0.0298718660593473	0.0279442846414202	0	0.0264000574195365	0.0009421769476133	0.0273811925087717	0.0666262492126053	0.131292964334697	0.104197589293347	0.00522129004426932	0.044309082398676	0	0.0126540249576328	0.00544426308766858	0	0.380583312635574	0.924259291647659
TCGA-50-5049-01A	0.0571545739729616	0	0.238911113465068	0.169521029265981	0	0.0806510555324767	0.0669746112366281	0.00478291362604699	0.0137362535295436	0	0	0	0.0173663229229642	0.104074020165683	0.0596206451760534	0.131609915251804	0.0256002456750745	0	0.0258105490088604	0	0.00265982833198269	0.00152692283887184	0	0.474235174077248	0.879766666626579
TCGA-50-5055-01A	0.0662783187179857	0.0888386552203068	0.146051576204004	0.126001557586288	0	0.0680071206936842	0.0328519808180193	0.0514419440801295	0.0626937793744438	0.0228708947037824	0	0	0	0.119375836441549	0.0416530294949602	0.0613546385779921	0.0593957338424682	0.0121395253518058	0.041045408892581	0	0	0	0	0.494902723944951	0.869838991634457
TCGA-50-5066-01A	0	0.00153109131035433	0.256671032004283	0.145749244760892	0	0.0466082268458662	0.0861721606820387	0.0194041713494108	0	0.0476222277066585	0	0.0216173951347858	0	0.00967791456514206	0.0857614021080394	0.163077465430499	0.057607132281363	0	0.0490596592655481	0	0	0.00944087655511934	0	0.441234492094868	0.896519173398044
TCGA-50-5068-01A	0.00654422062703603	0.0626257532413696	0.120060636839646	0.110557355941496	0	0.092074794288333	0.00876153423238116	0.0551663420032886	0	0.0573963348360284	0	0.0365868138367584	0.00434924096603532	0.0303550866753934	0.0953919249626166	0.125973576427474	0.133538126218833	0	0.0606182589033104	0	0	0	0.01	0.350915594275264	0.936984246238951
